Year,Team,Player,Targets,Catches,Yards,CatchRate,YdsPerTarget,Target %,YdsPerCatch,Standard Targets,Standard Catches,Standard Yards,Standard CatchRate,Standard YdsPerTarget,Standard Target %,Standard YdsPerCatch,Passing Targets,Passing Catches,Passing Yards,Passing CatchRate,Passing YdsPerTarget,Passing Target %,Passing YdsPerCatch
2010,Oregon,Kenjon Barner,13,12,103,92.3%,7.9,3.4%,8.6,7,6,75,85.7%,10.7,3.1%,12.5,6,6,28,100.0%,4.7,3.9%,4.7
2010,Washington,Cody Bruns,13,7,102,53.8%,7.8,3.6%,14.6,8,5,80,62.5%,10.0,3.9%,16.0,5,2,22,40.0%,4.4,3.3%,11.0
2006,Kentucky,David Jones,13,7,101,53.8%,7.8,3.1%,14.4,8,4,39,50.0%,4.9,3.1%,9.8,5,3,62,60.0%,12.4,3.1%,20.7
2010,LSU,Spencer Ware,13,10,101,76.9%,7.8,4.6%,10.1,9,8,84,88.9%,9.3,5.6%,10.5,4,2,17,50.0%,4.3,3.3%,8.5
2011,Northwestern,Charles Brown,13,8,101,61.5%,7.8,3.3%,12.6,8,5,56,62.5%,7.0,3.1%,11.2,5,3,45,60.0%,9.0,3.7%,15.0
2007,Ole Miss,Bruce Hall,13,10,101,76.9%,7.8,3.7%,10.1,7,5,35,71.4%,5.0,3.7%,7.0,6,5,66,83.3%,11.0,3.7%,13.2
2005,Rutgers,Marcus Daniels,13,5,101,38.5%,7.8,4.0%,20.2,8,4,84,50.0%,10.5,4.0%,21.0,5,1,17,20.0%,3.4,3.8%,17.0
2008,Utah State,Xavier Bowman,13,9,101,69.2%,7.8,4.1%,11.2,5,4,49,80.0%,9.8,3.1%,12.3,8,5,52,62.5%,6.5,5.3%,10.4
2010,Alabama,Michael Williams,13,8,100,61.5%,7.7,3.7%,12.5,8,7,81,87.5%,10.1,3.6%,11.6,5,1,19,20.0%,3.8,3.8%,19.0
2005,Clemson,Bobby Williamson,13,9,100,69.2%,7.7,3.6%,11.1,11,9,100,81.8%,9.1,5.6%,11.1,2,0,0,0.0%,0.0,1.2%,0.0
2010,Louisiana Tech,Ray Holley,13,11,98,84.6%,7.5,3.3%,8.9,6,6,36,100.0%,6.0,2.7%,6.0,7,5,62,71.4%,8.9,4.0%,12.4
2009,Miami-OH,Chris Givens,13,11,98,84.6%,7.5,2.6%,8.9,10,8,82,80.0%,8.2,3.3%,10.3,3,3,16,100.0%,5.3,1.6%,5.3
2008,Missouri,Jerrell Jackson,13,9,98,69.2%,7.5,2.5%,10.9,8,7,85,87.5%,10.6,2.2%,12.1,5,2,13,40.0%,2.6,3.0%,6.5
2005,Nebraska,Mark LeFlore,13,10,98,76.9%,7.5,3.1%,9.8,9,8,81,88.9%,9.0,3.9%,10.1,4,2,17,50.0%,4.3,2.1%,8.5
2006,Notre Dame,Marcus Freeman,13,9,98,69.2%,7.5,2.9%,10.9,11,8,86,72.7%,7.8,3.8%,10.8,2,1,12,50.0%,6.0,1.2%,12.0
2010,Missouri,Rolandis Woodland,13,5,97,38.5%,7.5,2.8%,19.4,7,3,83,42.9%,11.9,2.5%,27.7,6,2,14,33.3%,2.3,3.2%,7.0
2007,TCU,Jeremy Kerley,13,9,97,69.2%,7.5,3.1%,10.8,9,6,61,66.7%,6.8,3.6%,10.2,4,3,36,75.0%,9.0,2.3%,12.0
2006,Tulsa,Jesse Meyer,13,8,97,61.5%,7.5,3.7%,12.1,9,5,63,55.6%,7.0,4.3%,12.6,4,3,34,75.0%,8.5,2.8%,11.3
2007,Hawaii,David Farmer,13,9,95,69.2%,7.3,2.0%,10.6,8,5,57,62.5%,7.1,1.8%,11.4,5,4,38,80.0%,7.6,2.6%,9.5
2008,Connecticut,Marcus Easley,13,4,94,30.8%,7.2,4.3%,23.5,11,3,70,27.3%,6.4,6.8%,23.3,2,1,24,50.0%,12.0,1.4%,24.0
2008,Oregon State,Darrell Catchings,13,7,94,53.8%,7.2,3.1%,13.4,11,5,72,45.5%,6.5,5.0%,14.4,2,2,22,100.0%,11.0,1.0%,11.0
2008,Michigan,Kevin Koger,13,6,93,46.2%,7.2,4.3%,15.5,4,3,53,75.0%,13.3,2.8%,17.7,9,3,40,33.3%,4.4,5.6%,13.3
2006,USC,Chauncey Washington,13,9,93,69.2%,7.2,3.2%,10.3,11,8,89,72.7%,8.1,4.2%,11.1,2,1,4,50.0%,2.0,1.4%,4.0
2010,Arizona,A.J. Simmons,13,8,92,61.5%,7.1,2.6%,11.5,9,6,50,66.7%,5.6,3.1%,8.3,4,2,42,50.0%,10.5,1.9%,21.0
2011,Arkansas State,Anthony Kincy,13,9,91,69.2%,7.0,2.8%,10.1,7,4,31,57.1%,4.4,2.5%,7.8,6,5,60,83.3%,10.0,3.2%,12.0
2011,Missouri,Henry Josey,13,10,91,76.9%,7.0,3.6%,9.1,9,7,71,77.8%,7.9,4.1%,10.1,4,3,20,75.0%,5.0,2.9%,6.7
2006,San Diego State,Brian Spinks,13,9,91,69.2%,7.0,4.9%,10.1,6,4,39,66.7%,6.5,4.3%,9.8,7,5,52,71.4%,7.4,5.5%,10.4
2006,Syracuse,Curtis Brinkley,13,10,91,76.9%,7.0,4.5%,9.1,9,7,59,77.8%,6.6,5.8%,8.4,4,3,32,75.0%,8.0,3.0%,10.7
2006,West Virginia,Owen Schmitt,13,12,91,92.3%,7.0,6.1%,7.6,5,4,42,80.0%,8.4,5.2%,10.5,8,8,49,100.0%,6.1,6.9%,6.1
2010,Alabama,Earl Alexander,13,7,90,53.8%,6.9,3.7%,12.9,9,6,83,66.7%,9.2,4.0%,13.8,4,1,7,25.0%,1.8,3.1%,7.0
2011,Marshall,Wayne Bonner,13,4,90,30.8%,6.9,3.4%,22.5,6,2,31,33.3%,5.2,2.8%,15.5,7,2,59,28.6%,8.4,4.0%,29.5
2008,San Diego State,Tyler Campbell,13,11,90,84.6%,6.9,2.8%,8.2,7,5,56,71.4%,8.0,2.7%,11.2,6,6,34,100.0%,5.7,2.9%,5.7
2006,Tennessee,Arian Foster,13,11,88,84.6%,6.8,3.3%,8.0,7,6,46,85.7%,6.6,3.3%,7.7,6,5,42,83.3%,7.0,3.3%,8.4
2010,UL-Monroe,Alvin Jordan,13,10,88,76.9%,6.8,3.4%,8.8,10,8,78,80.0%,7.8,4.5%,9.8,3,2,10,66.7%,3.3,1.9%,5.0
2006,Kansas State,James Johnson,13,10,87,76.9%,6.7,3.3%,8.7,6,5,61,83.3%,10.2,2.6%,12.2,7,5,26,71.4%,3.7,4.3%,5.2
2009,Minnesota,Jon Hoese,13,11,87,84.6%,6.7,3.6%,7.9,10,8,74,80.0%,7.4,5.0%,9.3,3,3,13,100.0%,4.3,1.9%,4.3
2009,Buffalo,Ike Nduka,13,9,86,69.2%,6.6,3.4%,9.6,5,3,25,60.0%,5.0,2.3%,8.3,8,6,61,75.0%,7.6,4.8%,10.2
2007,Kentucky,Derrick Locke,13,7,86,53.8%,6.6,2.6%,12.3,9,4,66,44.4%,7.3,3.0%,16.5,4,3,20,75.0%,5.0,2.0%,6.7
2011,Colorado,Kyle Cefalo,13,10,85,76.9%,6.5,3.1%,8.5,7,5,26,71.4%,3.7,3.3%,5.2,6,5,59,83.3%,9.8,2.9%,11.8
2009,Eastern Michigan,Dwayne Priest,13,9,84,69.2%,6.5,4.3%,9.3,6,4,36,66.7%,6.0,3.9%,9.0,7,5,48,71.4%,6.9,4.7%,9.6
2007,Florida State,Charlie Graham,13,11,84,84.6%,6.5,2.9%,7.6,7,6,35,85.7%,5.0,2.8%,5.8,6,5,49,83.3%,8.2,2.9%,9.8
2011,NC State,Mario Carter,13,9,84,69.2%,6.5,2.9%,9.3,10,7,64,70.0%,6.4,4.1%,9.1,3,2,20,66.7%,6.7,1.5%,10.0
2006,Ohio,Chris Garrett,13,10,84,76.9%,6.5,4.2%,8.4,7,5,57,71.4%,8.1,4.8%,11.4,6,5,27,83.3%,4.5,3.7%,5.4
2008,Oklahoma,Mossis Madu,13,12,84,92.3%,6.5,2.6%,7.0,4,3,20,75.0%,5.0,1.4%,6.7,9,9,64,100.0%,7.1,4.3%,7.1
2006,North Carolina,Bobby Rome,13,8,83,61.5%,6.4,4.4%,10.4,9,5,66,55.6%,7.3,6.3%,13.2,4,3,17,75.0%,4.3,2.6%,5.7
2008,Southern Miss,Tory Harrison,13,5,83,38.5%,6.4,3.0%,16.6,5,3,39,60.0%,7.8,2.1%,13.0,8,2,44,25.0%,5.5,4.2%,22.0
2005,Texas A&M,Joey Thomas,13,7,83,53.8%,6.4,4.3%,11.9,9,5,69,55.6%,7.7,5.4%,13.8,4,2,14,50.0%,3.5,2.9%,7.0
2009,Florida Atlantic,Xavier Stinson,13,9,82,69.2%,6.3,3.3%,9.1,10,7,76,70.0%,7.6,4.1%,10.9,3,2,6,66.7%,2.0,1.9%,3.0
2007,Akron,Dennis Kennedy,13,9,80,69.2%,6.2,3.8%,8.9,5,4,89,80.0%,17.8,2.7%,22.3,8,5,-9,62.5%,-1.1,5.0%,-1.8
2006,Fresno State,Isaac Kinter,13,10,79,76.9%,6.1,4.4%,7.9,8,5,42,62.5%,5.3,4.9%,8.4,5,5,37,100.0%,7.4,3.7%,7.4
2005,Iowa,Calvin Davis,13,8,79,61.5%,6.1,3.4%,9.9,5,3,28,60.0%,5.6,2.1%,9.3,8,5,51,62.5%,6.4,5.6%,10.2
2007,Louisiana Tech,Dennis Morris,13,9,79,69.2%,6.1,3.4%,8.8,10,6,54,60.0%,5.4,4.3%,9.0,3,3,25,100.0%,8.3,1.9%,8.3
2008,Maryland,Davin Meggett,13,9,79,69.2%,6.1,3.5%,8.8,4,2,5,50.0%,1.3,1.9%,2.5,9,7,74,77.8%,8.2,5.3%,10.6
2006,UL-Monroe,Aaron Stringfellow,13,7,79,53.8%,6.1,4.6%,11.3,7,3,34,42.9%,4.9,4.4%,11.3,6,4,45,66.7%,7.5,4.8%,11.3
2010,Akron,Jose Cruz,13,13,78,100.0%,6.0,4.0%,6.0,10,10,54,100.0%,5.4,5.7%,5.4,3,3,24,100.0%,8.0,2.0%,8.0
2005,California,Eric Beegun,13,6,78,46.2%,6.0,4.3%,13.0,9,5,65,55.6%,7.2,5.2%,13.0,4,1,13,25.0%,3.3,3.2%,13.0
2006,Texas A&M,Chris Alexander,13,11,78,84.6%,6.0,4.0%,7.1,6,4,19,66.7%,3.2,3.5%,4.8,7,7,59,100.0%,8.4,4.7%,8.4
2010,Arkansas State,Kedric Murry,13,9,77,69.2%,5.9,3.1%,8.6,8,5,33,62.5%,4.1,3.3%,6.6,5,4,44,80.0%,8.8,2.8%,11.0
2006,Miami-FL,Ryan Hill,13,8,77,61.5%,5.9,3.7%,9.6,7,5,57,71.4%,8.1,3.4%,11.4,6,3,20,50.0%,3.3,4.2%,6.7
2008,Western Kentucky,Stephen Willis,13,6,77,46.2%,5.9,4.4%,12.8,10,4,66,40.0%,6.6,6.3%,16.5,3,2,11,66.7%,3.7,2.2%,5.5
2011,Arkansas State,R.J. Fleming,13,13,76,100.0%,5.8,2.8%,5.8,9,9,42,100.0%,4.7,3.2%,4.7,4,4,34,100.0%,8.5,2.1%,8.5
2005,Temple,Nick Santa Cruz,13,6,76,46.2%,5.8,4.2%,12.7,7,3,45,42.9%,6.4,4.7%,15.0,6,3,31,50.0%,5.2,3.8%,10.3
2011,Washington State,Isiah Myers,13,7,76,53.8%,5.8,2.7%,10.9,8,3,30,37.5%,3.8,2.8%,10.0,5,4,46,80.0%,9.2,2.6%,11.5
2007,Florida International,Moses Hinton,13,5,75,38.5%,5.8,4.1%,15.0,8,3,61,37.5%,7.6,4.5%,20.3,5,2,14,40.0%,2.8,3.6%,7.0
2007,Miami-FL,Kayne Farquharson,13,9,75,69.2%,5.8,5.1%,8.3,6,5,38,83.3%,6.3,4.6%,7.6,7,4,37,57.1%,5.3,5.6%,9.3
2005,Nevada,Trevor Brackett,13,9,75,69.2%,5.8,3.4%,8.3,10,7,52,70.0%,5.2,4.3%,7.4,3,2,23,66.7%,7.7,2.1%,11.5
2008,Oregon,Jeremiah Johnson,13,8,75,61.5%,5.8,3.9%,9.4,4,1,-5,25.0%,-1.3,2.1%,-5.0,9,7,80,77.8%,8.9,6.6%,11.4
2005,Tennessee,Gerald Riggs Jr.,13,10,74,76.9%,5.7,4.1%,7.4,4,3,7,75.0%,1.8,2.4%,2.3,9,7,67,77.8%,7.4,5.9%,9.6
2010,Nevada,Mike Ball,13,11,73,84.6%,5.6,3.7%,6.6,6,6,24,100.0%,4.0,2.9%,4.0,7,5,49,71.4%,7.0,4.9%,9.8
2011,Ohio State,Carlos Hyde,13,10,73,76.9%,5.6,5.9%,7.3,8,6,50,75.0%,6.3,7.1%,8.3,5,4,23,80.0%,4.6,4.6%,5.8
2006,Oklahoma,Fred Strong,13,9,73,69.2%,5.6,4.1%,8.1,7,5,48,71.4%,6.9,3.9%,9.6,6,4,25,66.7%,4.2,4.2%,6.3
2011,Houston,Darian Lazard,13,8,72,61.5%,5.5,1.9%,9.0,7,5,46,71.4%,6.6,1.5%,9.2,6,3,26,50.0%,4.3,2.9%,8.7
2006,Michigan,Mike Massey,13,8,72,61.5%,5.5,4.2%,9.0,7,4,46,57.1%,6.6,4.4%,11.5,6,4,26,66.7%,4.3,3.9%,6.5
2010,Purdue,Jeff Lindsay,13,9,72,69.2%,5.5,4.0%,8.0,8,6,49,75.0%,6.1,4.6%,8.2,5,3,23,60.0%,4.6,3.3%,7.7
2008,Hawaii,Ryan Mouton,13,8,71,61.5%,5.5,2.9%,8.9,6,2,26,33.3%,4.3,2.3%,13.0,7,6,45,85.7%,6.4,3.6%,7.5
2008,Boston College,Clarence Megwa,13,9,70,69.2%,5.4,3.3%,7.8,10,7,50,70.0%,5.0,4.2%,7.1,3,2,20,66.7%,6.7,1.9%,10.0
2006,Colorado State,Nnamdi Ohaeri,13,9,70,69.2%,5.4,3.8%,7.8,5,4,30,80.0%,6.0,2.5%,7.5,8,5,40,62.5%,5.0,5.8%,8.0
2008,Hawaii,Leon Wright-Jackson,13,10,70,76.9%,5.4,2.9%,7.0,10,7,35,70.0%,3.5,3.8%,5.0,3,3,35,100.0%,11.7,1.5%,11.7
2006,Kansas,Brandon McAnderson,13,6,70,46.2%,5.4,3.8%,11.7,6,2,51,33.3%,8.5,3.2%,25.5,7,4,19,57.1%,2.7,4.6%,4.8
2009,Northern Illinois,Nathan Palmer,13,5,70,38.5%,5.4,5.1%,14.0,9,4,55,44.4%,6.1,6.6%,13.8,4,1,15,25.0%,3.8,3.3%,15.0
2007,Oregon State,Matthew Sieverson,13,11,70,84.6%,5.4,3.3%,6.4,6,4,18,66.7%,3.0,2.8%,4.5,7,7,52,100.0%,7.4,3.7%,7.4
2006,San Jose State,Jacob French,13,8,70,61.5%,5.4,4.8%,8.8,6,2,9,33.3%,1.5,3.7%,4.5,7,6,61,85.7%,8.7,6.5%,10.2
2008,TCU,Justin Watts,13,10,70,76.9%,5.4,3.8%,7.0,10,8,63,80.0%,6.3,4.5%,7.9,3,2,7,66.7%,2.3,2.5%,3.5
2009,Boston College,Montel Harris,13,8,69,61.5%,5.3,4.2%,8.6,7,4,36,57.1%,5.1,4.7%,9.0,6,4,33,66.7%,5.5,3.8%,8.3
2009,Indiana,Matt Ernest,13,7,69,53.8%,5.3,3.1%,9.9,4,3,32,75.0%,8.0,1.9%,10.7,9,4,37,44.4%,4.1,4.4%,9.3
2008,Miami-OH,Thomas Merriweather,13,9,69,69.2%,5.3,3.1%,7.7,6,4,38,66.7%,6.3,2.4%,9.5,7,5,31,71.4%,4.4,4.0%,6.2
2005,Ohio,Anthony Hackett,13,7,69,53.8%,5.3,5.6%,9.9,7,4,36,57.1%,5.1,6.5%,9.0,6,3,33,50.0%,5.5,4.8%,11.0
2009,Oklahoma,Mossis Madu,13,7,69,53.8%,5.3,2.7%,9.9,8,5,61,62.5%,7.6,3.1%,12.2,5,2,8,40.0%,1.6,2.2%,4.0
2007,Toledo,DaJuane Collins,13,11,69,84.6%,5.3,3.4%,6.3,6,6,47,100.0%,7.8,3.0%,7.8,7,5,22,71.4%,3.1,4.0%,4.4
2011,Tulane,Stephen Barnett,13,10,69,76.9%,5.3,3.0%,6.9,11,9,67,81.8%,6.1,4.5%,7.4,2,1,2,50.0%,1.0,1.0%,2.0
2008,Utah State,Marquis Butler,13,9,69,69.2%,5.3,4.1%,7.7,9,8,52,88.9%,5.8,5.5%,6.5,4,1,17,25.0%,4.3,2.6%,17.0
2006,Iowa State,Marquis Hamilton,13,6,68,46.2%,5.2,3.7%,11.3,8,3,47,37.5%,5.9,4.0%,15.7,5,3,21,60.0%,4.2,3.3%,7.0
2010,Memphis,Jerrell Rhodes,13,11,68,84.6%,5.2,4.1%,6.2,8,6,53,75.0%,6.6,4.8%,8.8,5,5,15,100.0%,3.0,3.4%,3.0
2006,Michigan,Greg Mathews,13,7,68,53.8%,5.2,4.2%,9.7,8,5,40,62.5%,5.0,5.0%,8.0,5,2,28,40.0%,5.6,3.3%,14.0
2006,Northwestern,Terrell Jordan,13,8,68,61.5%,5.2,4.3%,8.5,6,5,57,83.3%,9.5,3.4%,11.4,7,3,11,42.9%,1.6,5.6%,3.7
2010,Ohio State,Zach Boren,13,10,68,76.9%,5.2,4.0%,6.8,9,6,56,66.7%,6.2,4.5%,9.3,4,4,12,100.0%,3.0,3.3%,3.0
2010,UL-Lafayette,Robert Walker,13,10,68,76.9%,5.2,3.2%,6.8,7,5,41,71.4%,5.9,3.1%,8.2,6,5,27,83.3%,4.5,3.4%,5.4
2011,Middle Tennessee,William Pratcher,13,6,67,46.2%,5.2,2.7%,11.2,5,3,51,60.0%,10.2,1.9%,17.0,8,3,16,37.5%,2.0,3.8%,5.3
2008,TCU,Evan Frosch,13,10,67,76.9%,5.2,3.8%,6.7,12,9,57,75.0%,4.8,5.4%,6.3,1,1,10,100.0%,10.0,0.8%,10.0
2006,Duke,Justin Boyle,13,8,66,61.5%,5.1,4.0%,8.3,5,4,31,80.0%,6.2,2.8%,7.8,8,4,35,50.0%,4.4,5.3%,8.8
2006,Florida Atlantic,Cortez Gent,13,6,66,46.2%,5.1,4.0%,11.0,4,2,34,50.0%,8.5,2.6%,17.0,9,4,32,44.4%,3.6,5.3%,8.0
2007,TCU,Justin Watts,13,10,66,76.9%,5.1,3.1%,6.6,5,4,44,80.0%,8.8,2.0%,11.0,8,6,22,75.0%,2.8,4.6%,3.7
2007,UCLA,Marcus Everett,13,5,66,38.5%,5.1,3.6%,13.2,8,3,66,37.5%,8.3,4.5%,22.0,5,2,0,40.0%,0.0,2.8%,0.0
2005,Arkansas,Cedric Logan,13,6,65,46.2%,5.0,5.2%,10.8,6,3,23,50.0%,3.8,4.8%,7.7,7,3,42,42.9%,6.0,5.6%,14.0
2009,Rutgers,Julian Hayes,13,6,65,46.2%,5.0,4.4%,10.8,2,1,5,50.0%,2.5,1.4%,5.0,11,5,60,45.5%,5.5,7.5%,12.0
2005,Eastern Michigan,Ken Bohnet,13,11,64,84.6%,4.9,3.3%,5.8,11,11,64,100.0%,5.8,5.2%,5.8,2,0,0,0.0%,0.0,1.1%,0.0
2007,Indiana,Brandon Walker-Roby,13,4,64,30.8%,4.9,3.0%,16.0,4,2,29,50.0%,7.3,1.6%,14.5,9,2,35,22.2%,3.9,5.1%,17.5
2007,SMU,DeMyron Martin,13,9,64,69.2%,4.9,3.2%,7.1,9,7,46,77.8%,5.1,3.6%,6.6,4,2,18,50.0%,4.5,2.6%,9.0
2007,Utah,Brent Casteel,13,7,64,53.8%,4.9,3.5%,9.1,7,3,10,42.9%,1.4,3.3%,3.3,6,4,54,66.7%,9.0,3.7%,13.5
2011,West Virginia,Ryan Nehlen,13,5,64,38.5%,4.9,2.5%,12.8,5,1,21,20.0%,4.2,1.6%,21.0,8,4,43,50.0%,5.4,4.1%,10.8
2007,Illinois,DaJuan Warren,13,7,63,53.8%,4.8,4.3%,9.0,3,1,7,33.3%,2.3,1.7%,7.0,10,6,56,60.0%,5.6,7.9%,9.3
2008,Louisiana Tech,Josh Wheeler,13,4,63,30.8%,4.8,4.2%,15.8,6,1,8,16.7%,1.3,3.5%,8.0,7,3,55,42.9%,7.9,4.9%,18.3
2006,Northwestern,Kim Thompson,13,4,62,30.8%,4.8,4.3%,15.5,8,3,44,37.5%,5.5,4.5%,14.7,5,1,18,20.0%,3.6,4.0%,18.0
2006,Stanford,Emeka Nnoli,13,8,62,61.5%,4.8,4.5%,7.8,7,5,53,71.4%,7.6,4.5%,10.6,6,3,9,50.0%,1.5,4.4%,3.0
2011,Indiana,D'Angelo Roberts,13,7,61,53.8%,4.7,3.6%,8.7,4,3,29,75.0%,7.3,2.2%,9.7,9,4,32,44.4%,3.6,5.1%,8.0
2008,Wisconsin,Maurice Moore,13,5,61,38.5%,4.7,4.2%,12.2,7,3,37,42.9%,5.3,4.4%,12.3,6,2,24,33.3%,4.0,4.1%,12.0
2008,Idaho,Princeton McCarty,13,9,60,69.2%,4.6,3.7%,6.7,6,4,15,66.7%,2.5,3.0%,3.8,7,5,45,71.4%,6.4,4.6%,9.0
2008,Oregon State,Chris Johnson,13,6,60,46.2%,4.6,3.1%,10.0,8,4,28,50.0%,3.5,3.6%,7.0,5,2,32,40.0%,6.4,2.5%,16.0
2010,Texas,Greg Smith,13,9,60,69.2%,4.6,3.1%,6.7,5,2,19,40.0%,3.8,2.1%,9.5,8,7,41,87.5%,5.1,4.3%,5.9
2010,UTEP,Russell Carr,13,7,60,53.8%,4.6,3.2%,8.6,6,2,23,33.3%,3.8,2.6%,11.5,7,5,37,71.4%,5.3,4.0%,7.4
2010,Central Florida,Adam Nissley,13,6,59,46.2%,4.5,4.7%,9.8,11,6,59,54.5%,5.4,6.8%,9.8,2,0,0,0.0%,0.0,1.8%,0.0
2011,Mississippi State,LaDarius Perkins,13,13,59,100.0%,4.5,3.9%,4.5,8,8,35,100.0%,4.4,4.2%,4.4,5,5,24,100.0%,4.8,3.5%,4.8
2008,Iowa State,Jason Scales,13,8,58,61.5%,4.5,3.2%,7.3,6,4,14,66.7%,2.3,2.6%,3.5,7,4,44,57.1%,6.3,4.0%,11.0
2010,Texas A&M,Hutson Prioleau,13,9,58,69.2%,4.5,2.6%,6.4,7,5,15,71.4%,2.1,2.5%,3.0,6,4,43,66.7%,7.2,2.8%,10.8
2011,UCLA,Ricky Marvray,13,10,57,76.9%,4.4,4.1%,5.7,11,8,44,72.7%,4.0,6.1%,5.5,2,2,13,100.0%,6.5,1.5%,6.5
2010,Wyoming,Robert Herron,13,6,57,46.2%,4.4,4.7%,9.5,7,4,51,57.1%,7.3,4.9%,12.8,6,2,6,33.3%,1.0,4.5%,3.0
2005,Alabama,Tim Castille,13,10,56,76.9%,4.3,3.9%,5.6,6,4,23,66.7%,3.8,2.9%,5.8,7,6,33,85.7%,4.7,5.4%,5.5
2007,SMU,Cedrick Dorsey,13,9,56,69.2%,4.3,3.2%,6.2,7,6,60,85.7%,8.6,2.8%,10.0,6,3,-4,50.0%,-0.7,3.9%,-1.3
2011,Boston College,Johnathan Coleman,13,5,55,38.5%,4.2,4.5%,11.0,3,1,24,33.3%,8.0,2.1%,24.0,10,4,31,40.0%,3.1,6.8%,7.8
2007,NC State,Jarvis Williams,13,8,55,61.5%,4.2,2.8%,6.9,7,5,14,71.4%,2.0,2.8%,2.8,6,3,41,50.0%,6.8,2.8%,13.7
2009,UTEP,James Thomas II,13,4,55,30.8%,4.2,3.2%,13.8,7,1,15,14.3%,2.1,2.8%,15.0,6,3,40,50.0%,6.7,4.0%,13.3
2007,TCU,Quinton Cunigan,13,7,54,53.8%,4.2,3.1%,7.7,10,4,41,40.0%,4.1,4.0%,10.3,3,3,13,100.0%,4.3,1.7%,4.3
2011,UNLV,Tim Cornett,13,10,54,76.9%,4.2,5.3%,5.4,4,3,25,75.0%,6.3,3.1%,8.3,9,7,29,77.8%,3.2,7.7%,4.1
2009,Clemson,Rendrick Taylor,13,8,53,61.5%,4.1,3.4%,6.6,8,7,39,87.5%,4.9,3.8%,5.6,5,1,14,20.0%,2.8,2.8%,14.0
2008,Georgia Tech,Tyler Melton,13,5,53,38.5%,4.1,9.2%,10.6,6,3,36,50.0%,6.0,8.6%,12.0,7,2,17,28.6%,2.4,9.7%,8.5
2006,Tennessee,Josh Briscoe,13,5,53,38.5%,4.1,3.3%,10.6,5,2,20,40.0%,4.0,2.3%,10.0,8,3,33,37.5%,4.1,4.4%,11.0
2011,South Carolina,D.L. Moore,13,8,52,61.5%,4.0,4.4%,6.5,8,5,35,62.5%,4.4,4.7%,7.0,5,3,17,60.0%,3.4,4.0%,5.7
2011,Texas A&M,Ben Malena,13,10,52,76.9%,4.0,2.5%,5.2,6,4,7,66.7%,1.2,2.1%,1.8,7,6,45,85.7%,6.4,3.2%,7.5
2011,Wyoming,Ghaali Muhammad,13,8,52,61.5%,4.0,3.1%,6.5,5,1,5,20.0%,1.0,2.4%,5.0,8,7,47,87.5%,5.9,4.0%,6.7
2010,Marshall,Demetrius Evans,13,6,51,46.2%,3.9,3.3%,8.5,7,4,27,57.1%,3.9,3.0%,6.8,6,2,24,33.3%,4.0,3.6%,12.0
2009,Iowa,"Paul Chaney, Jr.",13,7,50,53.8%,3.8,3.5%,7.1,8,3,21,37.5%,2.6,3.8%,7.0,5,4,29,80.0%,5.8,3.2%,7.3
2008,Notre Dame,Robby Parris,13,9,50,69.2%,3.8,3.2%,5.6,5,4,25,80.0%,5.0,2.1%,6.3,8,5,25,62.5%,3.1,4.7%,5.0
2010,Oklahoma,Roy Finch,13,10,49,76.9%,3.8,2.1%,4.9,9,8,44,88.9%,4.9,2.4%,5.5,4,2,5,50.0%,1.3,1.6%,2.5
2010,Southern Miss,Markese Triplett,13,6,49,46.2%,3.8,2.9%,8.2,9,4,35,44.4%,3.9,3.2%,8.8,4,2,14,50.0%,3.5,2.4%,7.0
2007,Ball State,Koreen Burch,13,6,48,46.2%,3.7,2.8%,8.0,9,6,48,66.7%,5.3,3.3%,8.0,4,0,0,0.0%,0.0,2.1%,0.0
2005,Nevada,Adam Bishop,13,7,48,53.8%,3.7,3.4%,6.9,12,7,48,58.3%,4.0,5.1%,6.9,1,0,0,0.0%,0.0,0.7%,0.0
2006,Oklahoma State,Dantrell Savage,13,8,48,61.5%,3.7,4.6%,6.0,7,5,21,71.4%,3.0,4.0%,4.2,6,3,27,50.0%,4.5,5.5%,9.0
2007,Army,Tony Dace,13,10,47,76.9%,3.6,3.8%,4.7,6,4,15,66.7%,2.5,3.7%,3.8,7,6,32,85.7%,4.6,3.9%,5.3
2007,Penn State,Matt Hahn,13,9,47,69.2%,3.6,3.2%,5.2,12,8,49,66.7%,4.1,4.8%,6.1,1,1,-2,100.0%,-2.0,0.7%,-2.0
2008,Wake Forest,Richard Belton,13,9,47,69.2%,3.6,3.7%,5.2,8,6,18,75.0%,2.3,3.9%,3.0,5,3,29,60.0%,5.8,3.4%,9.7
2011,Utah,John White IV,13,13,44,100.0%,3.4,4.3%,3.4,5,5,11,100.0%,2.2,3.2%,2.2,8,8,33,100.0%,4.1,5.6%,4.1
2005,Connecticut,Seth Fogarty,13,6,43,46.2%,3.3,4.6%,7.2,10,5,34,50.0%,3.4,6.6%,6.8,3,1,9,33.3%,3.0,2.3%,9.0
2009,Missouri,Andrew Jones,13,8,43,61.5%,3.3,3.0%,5.4,10,7,32,70.0%,3.2,3.7%,4.6,3,1,11,33.3%,3.7,1.8%,11.0
2006,Ole Miss,BenJarvus Green-Ellis,13,8,43,61.5%,3.3,5.0%,5.4,4,1,4,25.0%,1.0,2.9%,4.0,9,7,39,77.8%,4.3,7.4%,5.6
